,short_desc,interval,long_desc,category_dict,analysis_group_1
BPL,Birthplace,discrete,"BPL indicates whether persons were born in the United States and, if not, the foreign country where they were born.","{9900: 'United States, n.s.', 10000: 'American Samoa', 10500: 'Guam', 10750: 'Northern Mariana Islands', 11000: 'Puerto Rico', 11500: 'U.S. Virgin Islands', 12090: 'U.S. outlying areas, n.s.', 15000: 'Canada', 16010: 'Bermuda', 19900: 'North America, n.s.', 20000: 'Mexico', 21010: 'Belize/British Honduras', 21020: 'Costa Rica', 21030: 'El Salvador', 21040: 'Guatemala', 21050: 'Honduras', 21060: 'Nicaragua', 21070: 'Panama', 21090: 'Central America, n.s.', 25000: 'Cuba', 26010: 'Dominican Republic', 26020: 'Haiti', 26030: 'Jamaica', 26043: 'Bahamas', 26044: 'Barbados', 26054: 'Dominica', 26055: 'Grenada', 26060: 'Trinidad and Tobago', 26065: 'Antigua and Barbuda', 26070: 'St. Kitts--Nevis', 26075: 'St. Lucia', 26080: 'St. Vincent and the Grenadi', 26091: 'Caribbean, n.s.', 30005: 'Argentina', 30010: 'Bolivia', 30015: 'Brazil', 30020: 'Chile', 30025: 'Colombia', 30030: 'Ecuador', 30040: 'Guyana/British Guiana', 30050: 'Peru', 30060: 'Uruguay', 30065: 'Venezuela', 30070: 'Paraguay', 30090: 'South America, n.s.', 31000: 'Americas, n.s.', 40000: 'Denmark', 40100: 'Finland', 40200: 'Iceland', 40400: 'Norway', 40500: 'Sweden', 41000: 'England', 41100: 'Scotland', 41200: 'Wales', 41300: 'United Kingdom, n.s.', 41400: 'Ireland', 41410: 'Northern Ireland', 42000: 'Belgium', 42100: 'France', 42500: 'Netherlands', 42600: 'Switzerland', 43300: 'Greece', 43400: 'Italy', 43600: 'Portugal', 43610: 'Azores', 43800: 'Spain', 45000: 'Austria', 45200: 'Czechoslavakia', 45212: 'Slovakia', 45213: 'Czech Republic', 45300: 'Germany', 45400: 'Hungary', 45500: 'Poland', 45600: 'Romania', 45650: 'Bulgaria', 45675: 'Albania', 45700: 'Yugoslavia', 45720: 'Bosnia and Herzegovina', 45730: 'Croatia', 45740: 'Macedonia', 45750: 'Serbia', 45760: 'Kosovo', 45770: 'Montenego', 46100: 'Estonia', 46200: 'Latvia', 46300: 'Lithuania', 46500: 'Other USSR/Russia', 46530: 'Ukraine', 46535: 'Belarus', 46540: 'Moldova', 46590: 'USSR, n.s.', 49900: 'Europe, n.s.', 50000: 'China', 50010: 'Hong Kong', 50040: 'Taiwan', 50100: 'Japan', 50200: 'Korea', 50220: 'South Korea', 50300: 'Mongolia', 51100: 'Cambodia', 51200: 'Indonesia', 51300: 'Laos', 51400: 'Malaysia', 51500: 'Philippines', 51600: 'Singapore', 51700: 'Thailand', 51800: 'Vietnam', 52000: 'Afghanistan', 52100: 'India', 52110: 'Bangladesh', 52120: 'Bhutan', 52130: 'Burma', 52140: 'Pakistan', 52150: 'Sri Lanka', 52200: 'Nepal', 55100: 'Armenia', 55200: 'Azerbaijan', 55300: 'Georgia', 55400: 'Uzbekistan', 55500: 'Kazakhstan', 53000: 'Iran', 53200: 'Iraq', 53400: 'Israel', 53420: 'Palestine', 53500: 'Jordan', 53700: 'Lebanon', 54000: 'Saudi Arabia', 54100: 'Syria', 54200: 'Turkey', 54300: 'Cyprus', 54350: 'Kuwait', 54400: 'Yemen', 54500: 'United Arab Emirates', 54700: 'Middle East, n.s.', 59900: 'Asia, n.e.c./n.s.', 60010: 'Northern Africa', 60012: 'Egypt/United Arab Rep.', 60014: 'Morocco', 60016: 'Algeria', 60018: 'Sudan', 60019: 'Libya', 60023: 'Ghana', 60031: 'Nigeria', 60032: 'Cameroon', 60033: 'Cape Verde', 60034: 'Liberia', 60035: 'Senegal', 60036: 'Sierra Leone', 60037: 'Guinea', 60038: 'Ivory Coast', 60039: 'Togo', 60040: 'Eritrea', 60044: 'Ethiopia', 60045: 'Kenya', 60050: 'Somalia', 60060: 'Tanzania', 60065: 'Uganda', 60070: 'Zimbabwe', 60094: 'South Africa (Union of)', 60095: 'Zaire', 60096: 'Congo', 60097: 'Zambia', 60099: 'Africa, n.s./n.e.c.', 70010: 'Australia', 70020: 'New Zealand', 71000: 'Pacific Islands', 71021: 'Fiji', 71022: 'Tonga', 71023: 'Samoa', 71024: 'Marshall Islands', 72000: 'Micronesia', 96000: 'Other, n.e.c. and unknown', 99999: 'NIU'}",0
YRIMMIG,Year of immigration,discrete,"YRIMMIG reports the year in which a person born outside the United States ""came to the U.S. to stay.""

User Note: There are significant comparability issues in this variable after 1991. Please see the Comparability section for details.","{0: 'NIU', 1949: '1949 or earlier', 1959: '1950-1959', 1964: '1960-1964', 1969: '1965-1969', 1974: '1970-1974', 1979: '1975-1979', 1981: '1980-1981', 1983: '1982-1983', 1985: '1984-1985', 1987: '1986-1987', 1989: '1988-1989', 1991: '1990-1991', 1993: '1992-1993', 1994: '1992-1994', 1995: '1994-1995', 1996: '1994-1996', 1997: '1996-1997', 1998: '1996-1998 (2000 CPS: 1998)', 1999: '1998-1999 (1999 CPS: 1996-1999)', 2000: '1998-2000', 2001: '2000-2001 (2001 CPS: 1998-2001)', 2002: '2000-2002', 2003: '2002-2003 (2003 CPS: 2000-2003)', 2004: '2002-2004', 2005: '2004-2005 (2005 CPS: 2002-2005)', 2006: '2004-2006', 2007: '2004-2007', 2008: '2006-2008 (2006-2007 CPS: 2004-2008)', 2009: '2006-2009 (2012 CPS forward: 2008-2009)', 2010: '2008-2010', 2011: '2008-2011 (2014 CPS forward: 2010-2011)', 2012: '2010-2012', 2013: '2010-2013 (2016 CPS forward: 2012-2013)', 2014: '2012-2014', 2015: '2012-2015 (2018 CPS forward: 2014-2015)', 2016: '2014-2016', 2017: '2014-2017 (2019 CPS forward: 2016-2017)', 2018: '2016-2018', 2019: '2016-2019', 2020: '2018-2020', 2021: '2018-2021 (2022 CPS forward: 2018-2019)', 2022: '2020-2022'}",0
CITIZEN,Citizenship status,discrete,"CITIZEN reports the citizenship status of foreign-born persons.  In IPUMS-CPS, people born in the U.S., Puerto Rico, or U.S. outlying areas were excluded from the question universe.  Respondents were identified as belonging to one of three groups: citizens by virtue of being born abroad to American parents; naturalized citizens; and non-citizens.","{1: 'Born in U.S', 2: 'Born in U.S. outlying', 3: 'Born abroad of American parents', 4: 'Naturalized citizen', 5: 'Not a citizen', 9: 'NIU'}",0
MBPL,Mother's birthplace ,discrete,"MBPL indicates whether the person's mother was born in the United States and, if not, her foreign country of birth.

There are occasionally inconsistencies in the original CPS data between a person's MBPL value and the BPL value of the person designated as that person's mother in the household.","{9900: 'U.S., n.s.', 10000: 'American Samoa', 10500: 'Guam', 11000: 'Puerto Rico', 11500: 'U.S. Virgin Islands', 12090: 'U.S. outlying areas, n.s.', 15000: 'Canada', 16010: 'Bermuda', 10750: 'Northern Mariana Islands', 19900: 'North America, n.s.', 20000: 'Mexico', 21010: 'Belize/British Honduras', 21020: 'Costa Rica', 21030: 'El Salvador', 21040: 'Guatemala', 21050: 'Honduras', 21060: 'Nicaragua', 21070: 'Panama', 21090: 'Central America, n.s.', 25000: 'Cuba', 26000: 'West Indies', 26010: 'Dominican Republic', 26020: 'Haiti', 26030: 'Jamaica', 26043: 'Bahamas', 26044: 'Barbados', 26054: 'Dominica', 26055: 'Grenada', 26060: 'Trinidad and Tobago', 26065: 'Antigua and Barbuda', 26070: 'St. Kitts--Nevis', 26075: 'St. Lucia', 26080: 'St. Vincent and the Grenadi', 30000: 'South America', 30005: 'Argentina', 30010: 'Bolivia', 30015: 'Brazil', 30020: 'Chile', 30025: 'Colombia', 30030: 'Ecuador', 30040: 'Guyana/British Guiana', 30050: 'Peru', 30060: 'Uruguay', 30065: 'Venezuala', 30070: 'Paraguay', 31000: 'Americas, n.s.', 40000: 'Denmark', 40100: 'Finland', 40200: 'Iceland', 40400: 'Norway', 40500: 'Sweden', 41000: 'England', 41100: 'Scotland', 41200: 'Wales', 41300: 'United Kingdom, n.s.', 41400: 'Ireland', 41410: 'Northern Ireland', 42000: 'Belgium', 42100: 'France', 42500: 'Netherlands', 42600: 'Switzerland', 43300: 'Greece', 43400: 'Italy', 43600: 'Portugal', 43610: 'Azores', 43800: 'Spain', 45000: 'Austria', 45200: 'Czechoslavakia', 45212: 'Slovakia', 45213: 'Czech Republic', 45300: 'Germany', 45400: 'Hungary', 45500: 'Poland', 45600: 'Romania', 45650: 'Bulgaria', 45675: 'Albania', 45700: 'Yugoslavia', 45720: 'Bosnia and Herzegovina', 45730: 'Croatia', 45740: 'Macedonia', 45750: 'Serbia', 45760: 'Kosovo', 45770: 'Montenego', 46100: 'Estonia', 46200: 'Latvia', 46300: 'Lithuania', 46500: 'Other USSR/Russia', 46530: 'Ukraine', 46535: 'Belarus', 46540: 'Moldova', 46590: 'USSR, n.s.', 49900: 'Europe, n.s.', 50000: 'China', 50010: 'Hong Kong', 50040: 'Taiwan', 50100: 'Japan', 50200: 'Korea', 50220: 'South Korea', 50300: 'Mongolia', 51100: 'Cambodia', 51200: 'Indonesia', 51300: 'Laos', 51400: 'Malaysia', 51500: 'Philippines', 51600: 'Singapore', 51700: 'Thailand', 51800: 'Vietnam', 52000: 'Afghanistan', 52100: 'India', 52110: 'Bangladesh', 52120: 'Bhutan', 52130: 'Burma (Myanmar)', 52140: 'Pakistan', 52150: 'Sri Lanka', 52200: 'Nepal', 55100: 'Armenia', 55200: 'Azerbaijan', 55300: 'Georgia', 55400: 'Uzbekistan', 55500: 'Kazakhstan', 53000: 'Iran', 53200: 'Iraq', 53400: 'Israel', 53420: 'Palestine', 53500: 'Jordan', 53700: 'Lebanon', 54000: 'Saudi Arabia', 54100: 'Syria', 54200: 'Turkey', 54300: 'Cyprus', 54350: 'Kuwait', 54400: 'Yemen', 54500: 'United Arab Emirates', 54700: 'Middle East, n.s.', 59900: 'Asia, n.e.c, /n.s.', 60000: 'Africa', 60010: 'Northern Africa', 60012: 'Egypt/United Arab Rep.', 60014: 'Morocco', 60016: 'Algeria', 60018: 'Sudan', 60019: 'Libya', 60023: 'Ghana', 60031: 'Nigeria', 60032: 'Cameroon', 60033: 'Cape Verde', 60034: 'Liberia', 60035: 'Sengal', 60036: 'Sierra Leone', 60037: 'Guinea', 60038: 'Ivory Coast', 60039: 'Togo', 60040: 'Eritrea', 60044: 'Ethiopia', 60045: 'Kenya', 60050: 'Somalia', 60060: 'Tanzania', 60065: 'Uganda', 60070: 'Zimbabwe', 60095: 'Zaire', 60096: 'Congo', 60097: 'Zambia', 60094: 'South Africa (Union of)', 70010: 'Australia', 70020: 'New Zealand', 71000: 'Pacific Islands', 71021: 'Fiji', 71022: 'Tonga', 71023: 'Samoa', 71024: 'Marshall Islands', 72000: 'Micronesia', 96000: 'Other, n.e.c. and unknown', 99999: 'NIU'}",0
FBPL,Father's birthplace,discrete,"FBPL indicates whether the person's father was born in the United States and, if not, his foreign country of birth.

There are occasionally inconsistencies in the original CPS data between a person's FBPL value and the BPL value of the person designated as that person's father in the household. For example, a person (PERNUM==3) has an FBPL value of 21030, but the person labeled as that person's father within the household (PERNUM==1) has a BPL value of 20000.","{9900: 'U.S., n.s.', 10000: 'American Samoa', 10500: 'Guam', 10750: 'Northern Mariana Islands', 11000: 'Puerto Rico', 11500: 'U.S. Virgin Islands', 12090: 'U.S. outlying areas, n.s.', 15000: 'Canada', 16010: 'Bermuda', 19900: 'North America, n.s.', 20000: 'Mexico', 21010: 'Belize/British Honduras', 21020: 'Costa Rica', 21030: 'El Salvador', 21040: 'Guatemala', 21050: 'Honduras', 21060: 'Nicaragua', 21070: 'Panama', 21090: 'Central America, n.s.', 25000: 'Cuba', 26000: 'West Indies', 26010: 'Dominican Republic', 26020: 'Haiti', 26030: 'Jamaica', 26043: 'Bahamas', 26044: 'Barbados', 26054: 'Dominica', 26055: 'Grenada', 26060: 'Trinidad and Tobago', 26065: 'Antigua and Barbuda', 26070: 'St. Kitts--Nevis', 26075: 'St. Lucia', 26080: 'St. Vincent and the Grenadi', 26091: 'Caribbean, n.s.', 30000: 'South America', 30005: 'Argentina', 30010: 'Bolivia', 30015: 'Brazil', 30020: 'Chile', 30025: 'Colombia', 30030: 'Ecuador', 30040: 'Guyana/British Guiana', 30050: 'Peru', 30060: 'Uruguay', 30065: 'Venezuala', 30070: 'Paraguay', 31000: 'Americas, n.s.', 40000: 'Denmark', 40100: 'Finland', 40200: 'Iceland', 40400: 'Norway', 40500: 'Sweden', 41000: 'England', 41100: 'Scotland', 41200: 'Wales', 41300: 'United Kingdom, n.s.', 41400: 'Ireland', 41410: 'Northern Ireland', 42000: 'Belgium', 42100: 'France', 42500: 'Netherlands', 42600: 'Switzerland', 43300: 'Greece', 43400: 'Italy', 43600: 'Portugal', 43610: 'Azores', 43800: 'Spain', 45000: 'Austria', 45200: 'Czechoslavakia', 45212: 'Slovakia', 45213: 'Czech Republic', 45300: 'Germany', 45400: 'Hungary', 45500: 'Poland', 45600: 'Romania', 45650: 'Bulgaria', 45675: 'Albania', 45700: 'Yugoslavia', 45720: 'Bosnia and Herzegovina', 45730: 'Croatia', 45740: 'Macedonia', 45750: 'Serbia', 45760: 'Kosovo', 45770: 'Montenegro', 46100: 'Estonia', 46200: 'Latvia', 46300: 'Lithuania', 46500: 'Other USSR/Russia', 46530: 'Ukraine', 46535: 'Belarus', 46540: 'Moldova', 46590: 'USSR, n.s.', 49900: 'Europe, n.s.', 50000: 'China', 50010: 'Hong Kong', 50040: 'Taiwan', 50100: 'Japan', 50200: 'Korea', 50220: 'South Korea', 50300: 'Mongolia', 51100: 'Cambodia', 51200: 'Indonesia', 51300: 'Laos', 51400: 'Malaysia', 51500: 'Philippines', 51600: 'Singapore', 51700: 'Thailand', 51800: 'Vietnam', 52000: 'Afghanistan', 52100: 'India', 52110: 'Bangladesh', 52120: 'Bhutan', 52130: 'Burma (Myanmar)', 52140: 'Pakistan', 52150: 'Sri Lanka', 52200: 'Nepal', 55100: 'Armenia', 55200: 'Azerbaijan', 55300: 'Georgia', 55400: 'Uzbekistan', 55500: 'Kazakhstan', 53000: 'Iran', 53200: 'Iraq', 53400: 'Israel', 53420: 'Palestine', 53500: 'Jordan', 53700: 'Lebanon', 54000: 'Saudi Arabia', 54100: 'Syria', 54200: 'Turkey', 54300: 'Cyprus', 54350: 'Kuwait', 54400: 'Yemen', 54500: 'United Arab Emirates', 54700: 'Middle East, n.s.', 59900: 'Asia, n.e.c, /n.s.', 60000: 'Africa', 60010: 'Northern Africa', 60012: 'Egypt/United Arab Rep.', 60014: 'Morocco', 60016: 'Algeria', 60018: 'Sudan', 60019: 'Libya', 60023: 'Ghana', 60031: 'Nigeria', 60032: 'Cameroon', 60033: 'Cape Verde', 60034: 'Liberia', 60035: 'Sengal', 60036: 'Sierra Leone', 60037: 'Guinea', 60038: 'Ivory Coast', 60039: 'Togo', 60040: 'Eritrea', 60044: 'Ethiopia', 60045: 'Kenya', 60050: 'Somalia', 60060: 'Tanzania', 60065: 'Uganda', 60070: 'Zimbabwe', 60094: 'South Africa (Union of)', 60095: 'Zaire', 60096: 'Congo', 60097: 'Zambia', 60099: 'Africa, n.s./n.e.c.', 70010: 'Australia', 70020: 'New Zealand', 71000: 'Pacific Islands', 71021: 'Fiji', 71022: 'Tonga', 71023: 'Samoa', 71024: 'Marshall Islands', 72000: 'Micronesia', 96000: 'Other, n.e.c. and unknown', 99999: 'NIU'}",0
NATIVITY,Foreign birthplace or parentage,discrete,"NATIVITY classifies each person as native-born or foreign-born (i.e., whether a first-generation immigrant) and further specifies whether the parents of a native-born person were native-born or foreign-born (i.e., whether a second-generation immigrant).  NATIVITY is constructed from information in the BPL, FBPL, and MBPL variables, which respectively report the place of birth of the respondent and his or her father and mother.   Persons born in outlying U.S. territories and possessions and those born abroad to U.S. parents are treated as foreign-born in NATIVITY.","{0: 'Unknown', 1: 'Both parents native-born', 2: 'Father foreign, mother native', 3: 'Mother foreign, father native', 4: 'Both parents foreign', 5: 'Foreign born'}",1
HISPAN,Hispanic origin,discrete,"HISPAN identifies and classifies persons of Hispanic/Spanish/Latino origin.  Origin is ancestry, lineage, heritage, national group, or country of birth.   

Prior to 2003, information was collected by asking, ""What is the origin or descent of each person in this household?"" and asking the respondent to select the appropriate category from a limited number of choices on a flashcard (including ""another group not listed."")   The choices included five to eight choices that would be classified as Hispanic, ""Negro"" and ""Black,"" and a small number of European ancestry groups such as ""German.""  

The primary intention of the question was to identify Hispanic respondents, rather than origin or descent for the general population.  Beginning in 1976, the original CPS data preserved detail for only the Hispanic responses, with all others answers lumped together as ""another group not listed"" (relabeled ""Not Hispanic"" in IPUMS-CPS). 

In 2003 and later years, respondents were asked, ""Are you Spanish, Hispanic, or Latino?"" rather than the broad query about origin or descent.  Detailed information about Hispanic ethnicity was collected only from those who answered ""yes"" to this initial question.","{0: 'Not Hispanic', 100: 'Mexican', 102: 'Mexican American', 103: 'Mexicano/Mexicana', 104: 'Chicano/Chicana', 108: 'Mexican (Mexicano)', 109: 'Mexicano/Chicano', 200: 'Puerto Rican', 300: 'Cuban', 400: 'Dominican', 500: 'Salvadoran', 600: 'Other Hispanic', 610: 'Central/South American', 611: 'Central American, (excluding Salvadoran)', 612: 'South American', 901: 'Do not know', 902: 'N/A (and no response 1985-87)'}",1
EMPSTAT,Employment status,discrete,"EMPSTAT indicates whether persons were part of the labor force--working or seeking work--and, if so, whether they were currently unemployed. The variable also provides information on the activity (e.g., doing housework, attending school,) or status (e.g., retired, unable to work) of persons not in the labor force, as well as limited additional information on those who are in the labor force (e.g. members of the Armed Forces, those with a job, but not at work last week). See LABFORCE for a dichotomous variable identifying whether a person participated in the labor force.

In the CPS, individuals' employment status was determined on the basis of answers to a series of questions relating to their activities during the preceding week.  Those who reported doing any work at all for pay or profit, or working at least fifteen hours without pay in a family business or farm, were classified as ""at work.""  Those who did not work during the previous week but who acknowledged having a job or business from which they were temporarily absent (e.g., due to illness, vacation, bad weather, or labor dispute) were also classified as employed, under the heading ""has job, not at work last week.""

Because the CPS is designed to measure unemployment in the civilian population, the original employment status variable in the survey classifies members of the armed forces as NIU (Not in universe).

Unemployed persons make up the third element of the labor force.  Individuals were coded as unemployed if they did no work for pay or profit, did not have a job from which they were briefly absent, and either reported looking for work as their major activity during the previous week (for 1962 through 1993) or answered yes to a question about whether they had been looking for work in the past four weeks. People who were temporarily laid off from a job were also classified as unemployed. A separate CPS variable specifying whether an unemployed person had worked before or was looking for a first job was used to distinguish between ""experienced"" and ""inexperienced"" unemployed persons in IPUMS CPS.

Persons who were neither employed nor unemployed fall into the residual category, ""not in labor force.""  Such individuals might be retired, disabled due to an illness lasting at least 6 months, occupied with other activities such as attending school or keeping house, or convinced that they are unlikely to find employment (discouraged workers).","{0: 'NIU', 1: 'Armed Forces', 10: 'At work', 12: 'Has job, not at work last week', 20: 'Unemployed', 21: 'Unemployed, experienced worker', 22: 'Unemployed, new worker', 30: 'Not in labor force', 31: 'NILF, housework', 32: 'NILF, unable to work', 33: 'NILF, school', 34: 'NILF, other', 35: 'NILF, unpaid, lt 15 hours', 36: 'NILF, retired'}",1
LABFORCE,Labor force status,discrete,"LABFORCE is a dichotomous variable indicating whether the respondent participated in the labor force during the preceding week.  See EMPSTAT for a more detailed employment status variable.   Those coded as ""yes"" in LABFORCE were either: were at work; held a job but were temporarily absent from work due to factors like vacation or illness; were seeking work; or were temporarily laid off from a job during the reference period.  

Because the CPS is designed to measure unemployment in the civilian population, the original dichotomous employment status variable in the survey classifies members of the armed forces as NIU (Not in universe).","{0: 'NIU', 1: 'No, not in the labor force', 2: 'Yes, in the labor force'}",0
OCC,Occupation,contin,"OCC reports the person's primary occupation.  Respondents who held more than one job were to report the job at which they worked the largest number of hours.  For persons who were employed at the time of the survey, OCC relates to the job worked during the preceding week; unemployed persons and those not currently in the labor force were to give their most recent occupation.   The CPS interviewer collected information by asking what kind of work the person was doing, and Census Bureau staff coded the information into the contemporary CPS or census occupational classification.  Researchers who wish to work with a consistent occupational coding scheme for 1968 forward should use the OCC1950 variable.  For general discussion of employment concepts, including the definition of those not in the labor force, see the documentation on EMPSTAT.",{},0
